Rank,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
227,Davide Bartesaghi,ITA,DF,Milan,Serie A,19,2005,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Marc Bartra,ESP,DF,Betis,La Liga,34,1991,11.3,2,9,4,44.4,0.8,0.35,0.22,0.5,19.5,1,0,0,0.8,0.8,0.09,1.2,1.2
229,Federico Baschirotto,ITA,DF,Lecce,Serie A,28,1996,23,0,11,4,36.4,0.48,0.17,0,0,11.6,0,0,0,0.6,0.6,0.05,-0.6,-0.6
230,Daniele Baselli,ITA,MF,Como,Serie A,32,1992,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Calvin Bassey,NGA,DF,Fulham,Premier League,25,1999,22,0,10,3,30,0.45,0.14,0,0,17.6,0,0,0,0.7,0.7,0.07,-0.7,-0.7
232,Aboubacar Bassinga,CIV,MF,Las Palmas,La Liga,19,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,Alessandro Bastoni,ITA,DF,Inter,Serie A,25,1999,16.8,1,6,2,33.3,0.36,0.12,0.17,0.5,13.3,0,0,0,0.3,0.3,0.05,0.7,0.7
234,Augusto Batalla,ARG,GK,Rayo Vallecano,La Liga,28,1996,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Dylan Batubinsika,COD,DF,Saint-Étienne,Ligue 1,28,1996,17.6,0,5,1,20,0.28,0.06,0,0,11.5,0,0,0,0.5,0.5,0.11,-0.5,-0.5
236,Maximilian Bauer,GER,DF,Augsburg,Bundesliga,24,2000,7.3,0,1,1,100,0.14,0.14,0,0,7.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2
237,Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,34,1990,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
